month,qty,product
2016_01,52,AT11914532304
2016_02,49,AT11914532304
2016_03,67,AT11914532304
2016_04,41,AT11914532304
2016_05,39,AT11914532304
2016_06,41,AT11914532304
2016_07,47,AT11914532304
2016_08,69,AT11914532304
2016_09,71,AT11914532304
2016_10,52,AT11914532304
2016_11,40,AT11914532304
2016_12,56,AT11914532304
2017_01,42,AT11914532304
2017_02,56,AT11914532304
2017_03,85,AT11914532304
2017_04,52,AT11914532304
2017_05,59,AT11914532304
2017_06,60,AT11914532304
2017_07,66,AT11914532304
2017_08,90,AT11914532304
2017_09,95,AT11914532304
2017_10,101,AT11914532304
2017_11,76,AT11914532304
2017_12,37,AT11914532304
2018_01,78,AT11914532304
2018_02,54,AT11914532304
2018_03,69,AT11914532304
2018_04,98,AT11914532304
2018_05,57,AT11914532304
2018_06,67,AT11914532304
2018_07,61,AT11914532304
2018_08,82,AT11914532304
2018_09,67,AT11914532304
2018_10,116,AT11914532304
2018_11,83,AT11914532304
2018_12,39,AT11914532304
2019_01,56,AT11914532304
2019_02,68,AT11914532304
2016_01,107,AT11914912409
2016_02,120,AT11914912409
2016_03,116,AT11914912409
2016_04,102,AT11914912409
2016_05,63,AT11914912409
2016_06,107,AT11914912409
2016_07,70,AT11914912409
2016_08,73,AT11914912409
2016_09,126,AT11914912409
2016_10,108,AT11914912409
2016_11,77,AT11914912409
2016_12,70,AT11914912409
2017_01,79,AT11914912409
2017_02,49,AT11914912409
2017_03,59,AT11914912409
2017_04,119,AT11914912409
2017_05,114,AT11914912409
2017_06,107,AT11914912409
2017_07,107,AT11914912409
2017_08,88,AT11914912409
2017_09,70,AT11914912409
2017_10,120,AT11914912409
2017_11,76,AT11914912409
2017_12,53,AT11914912409
2018_01,145,AT11914912409
2018_02,97,AT11914912409
2018_03,62,AT11914912409
2018_04,56,AT11914912409
2018_05,93,AT11914912409
2018_06,179,AT11914912409
2018_07,118,AT11914912409
2018_08,94,AT11914912409
2018_09,92,AT11914912409
2018_10,75,AT11914912409
2018_11,56,AT11914912409
2018_12,65,AT11914912409
2019_01,82,AT11914912409
2019_02,63,AT11914912409
2016_01,81,AT11916095266
2016_02,78,AT11916095266
2016_03,56,AT11916095266
2016_04,31,AT11916095266
2016_05,43,AT11916095266
2016_06,84,AT11916095266
2016_07,60,AT11916095266
2016_08,46,AT11916095266
2016_09,54,AT11916095266
2016_10,48,AT11916095266
2016_11,55,AT11916095266
2016_12,33,AT11916095266
2017_01,63,AT11916095266
2017_02,49,AT11916095266
2017_03,54,AT11916095266
2017_04,15,AT11916095266
2017_05,54,AT11916095266
2017_06,45,AT11916095266
2017_07,28,AT11916095266
2017_08,40,AT11916095266
2017_09,37,AT11916095266
2017_10,39,AT11916095266
2017_11,22,AT11916095266
2017_12,32,AT11916095266
2018_01,44,AT11916095266
2018_02,30,AT11916095266
2018_03,32,AT11916095266
2018_04,13,AT11916095266
2018_05,31,AT11916095266
2018_06,22,AT11916095266
2018_07,39,AT11916095266
2018_08,31,AT11916095266
2018_09,36,AT11916095266
2018_10,54,AT11916095266
2018_11,46,AT11916095266
2018_12,28,AT11916095266
2019_01,52,AT11916095266
2019_02,18,AT11916095266
2016_01,42,AT11920403621
2016_02,56,AT11920403621
2016_03,69,AT11920403621
2016_04,62,AT11920403621
2016_05,70,AT11920403621
2016_06,83,AT11920403621
2016_07,71,AT11920403621
2016_08,76,AT11920403621
2016_09,57,AT11920403621
2016_10,52,AT11920403621
2016_11,36,AT11920403621
2016_12,29,AT11920403621
2017_01,36,AT11920403621
2017_02,48,AT11920403621
2017_03,43,AT11920403621
2017_04,38,AT11920403621
2017_05,64,AT11920403621
2017_06,71,AT11920403621
2017_07,72,AT11920403621
2017_08,57,AT11920403621
2017_09,49,AT11920403621
2017_10,49,AT11920403621
2017_11,29,AT11920403621
2017_12,24,AT11920403621
2018_01,30,AT11920403621
2018_02,19,AT11920403621
2018_03,24,AT11920403621
2018_04,39,AT11920403621
2018_05,42,AT11920403621
2018_06,48,AT11920403621
2018_07,57,AT11920403621
2018_08,83,AT11920403621
2018_09,38,AT11920403621
2018_10,34,AT11920403621
2018_11,40,AT11920403621
2018_12,14,AT11920403621
2019_01,30,AT11920403621
2019_02,44,AT11920403621
2016_01,73,AT11920478978
2016_02,32,AT11920478978
2016_03,29,AT11920478978
2016_04,30,AT11920478978
2016_05,20,AT11920478978
2016_06,99,AT11920478978
2016_07,64,AT11920478978
2016_08,138,AT11920478978
2016_09,76,AT11920478978
2016_10,120,AT11920478978
2016_11,15,AT11920478978
2016_12,10,AT11920478978
2017_01,39,AT11920478978
2017_02,29,AT11920478978
2017_03,66,AT11920478978
2017_04,23,AT11920478978
2017_05,93,AT11920478978
2017_06,88,AT11920478978
2017_07,45,AT11920478978
2017_08,82,AT11920478978
2017_09,30,AT11920478978
2017_10,38,AT11920478978
2017_11,34,AT11920478978
2017_12,31,AT11920478978
2018_01,20,AT11920478978
2018_02,49,AT11920478978
2018_03,48,AT11920478978
2018_04,84,AT11920478978
2018_05,33,AT11920478978
2018_06,77,AT11920478978
2018_07,72,AT11920478978
2018_08,126,AT11920478978
2018_09,59,AT11920478978
2018_10,77,AT11920478978
2018_11,86,AT11920478978
2018_12,26,AT11920478978
2019_01,97,AT11920478978
2019_02,65,AT11920478978
2016_01,26,AT11920489282
2016_02,68,AT11920489282
2016_03,112,AT11920489282
2016_04,82,AT11920489282
2016_05,61,AT11920489282
2016_06,101,AT11920489282
2016_07,112,AT11920489282
2016_08,181,AT11920489282
2016_09,138,AT11920489282
2016_10,40,AT11920489282
2016_11,84,AT11920489282
2016_12,55,AT11920489282
2017_01,111,AT11920489282
2017_02,32,AT11920489282
2017_03,52,AT11920489282
2017_04,65,AT11920489282
2017_05,81,AT11920489282
2017_06,88,AT11920489282
2017_07,97,AT11920489282
2017_08,88,AT11920489282
2017_09,75,AT11920489282
2017_10,149,AT11920489282
2017_11,30,AT11920489282
2017_12,111,AT11920489282
2018_01,24,AT11920489282
2018_02,37,AT11920489282
2018_03,52,AT11920489282
2018_04,65,AT11920489282
2018_05,114,AT11920489282
2018_06,57,AT11920489282
2018_07,105,AT11920489282
2018_08,159,AT11920489282
2018_09,54,AT11920489282
2018_10,54,AT11920489282
2018_11,88,AT11920489282
2018_12,74,AT11920489282
2019_01,23,AT11920489282
2019_02,30,AT11920489282
2016_01,35,AT11920524573
2016_02,30,AT11920524573
2016_03,30,AT11920524573
2016_04,120,AT11920524573
2016_05,35,AT11920524573
2016_06,110,AT11920524573
2016_07,61,AT11920524573
2016_08,149,AT11920524573
2016_09,148,AT11920524573
2016_10,57,AT11920524573
2016_11,39,AT11920524573
2016_12,50,AT11920524573
2017_01,57,AT11920524573
2017_02,89,AT11920524573
2017_03,41,AT11920524573
2017_04,75,AT11920524573
2017_05,53,AT11920524573
2017_06,155,AT11920524573
2017_07,72,AT11920524573
2017_08,150,AT11920524573
2017_09,104,AT11920524573
2017_10,86,AT11920524573
2017_11,40,AT11920524573
2017_12,135,AT11920524573
2018_01,80,AT11920524573
2018_02,87,AT11920524573
2018_03,21,AT11920524573
2018_04,32,AT11920524573
2018_05,77,AT11920524573
2018_06,107,AT11920524573
2018_07,96,AT11920524573
2018_08,141,AT11920524573
2018_09,149,AT11920524573
2018_10,32,AT11920524573
2018_11,34,AT11920524573
2018_12,87,AT11920524573
2019_01,94,AT11920524573
2019_02,27,AT11920524573
2016_01,59,AT11920672643
2016_02,92,AT11920672643
2016_03,81,AT11920672643
2016_04,75,AT11920672643
2016_05,69,AT11920672643
2016_06,72,AT11920672643
2016_07,100,AT11920672643
2016_08,111,AT11920672643
2016_09,132,AT11920672643
2016_10,115,AT11920672643
2016_11,74,AT11920672643
2016_12,68,AT11920672643
2017_01,60,AT11920672643
2017_02,62,AT11920672643
2017_03,83,AT11920672643
2017_04,65,AT11920672643
2017_05,72,AT11920672643
2017_06,93,AT11920672643
2017_07,99,AT11920672643
2017_08,174,AT11920672643
2017_09,117,AT11920672643
2017_10,109,AT11920672643
2017_11,97,AT11920672643
2017_12,67,AT11920672643
2018_01,62,AT11920672643
2018_02,22,AT11920672643
2018_03,65,AT11920672643
2018_04,55,AT11920672643
2018_05,77,AT11920672643
2018_06,114,AT11920672643
2018_07,72,AT11920672643
2018_08,127,AT11920672643
2018_09,89,AT11920672643
2018_10,81,AT11920672643
2018_11,53,AT11920672643
2018_12,36,AT11920672643
2019_01,68,AT11920672643
2019_02,47,AT11920672643
2016_01,14,AT11925503024
2016_02,10,AT11925503024
2016_03,13,AT11925503024
2016_04,24,AT11925503024
2016_05,18,AT11925503024
2016_06,23,AT11925503024
2016_07,21,AT11925503024
2016_08,15,AT11925503024
2016_09,11,AT11925503024
2016_10,13,AT11925503024
2016_11,19,AT11925503024
2016_12,9,AT11925503024
2017_01,18,AT11925503024
2017_02,16,AT11925503024
2017_03,13,AT11925503024
2017_04,26,AT11925503024
2017_05,26,AT11925503024
2017_06,23,AT11925503024
2017_07,24,AT11925503024
2017_08,51,AT11925503024
2017_09,25,AT11925503024
2017_10,18,AT11925503024
2017_11,26,AT11925503024
2017_12,17,AT11925503024
2018_01,18,AT11925503024
2018_02,12,AT11925503024
2018_03,115,AT11925503024
2018_04,36,AT11925503024
2018_05,44,AT11925503024
2018_06,47,AT11925503024
2018_07,50,AT11925503024
2018_08,49,AT11925503024
2018_09,36,AT11925503024
2018_10,119,AT11925503024
2018_11,30,AT11925503024
2018_12,29,AT11925503024
2019_01,49,AT11925503024
2019_02,43,AT11925503024
2016_01,1,AT11925513007
2016_02,5,AT11925513007
2016_03,5,AT11925513007
2016_04,9,AT11925513007
2016_05,6,AT11925513007
2016_06,4,AT11925513007
2016_07,5,AT11925513007
2016_08,5,AT11925513007
2016_09,14,AT11925513007
2016_10,9,AT11925513007
2016_11,19,AT11925513007
2016_12,8,AT11925513007
2017_01,6,AT11925513007
2017_02,5,AT11925513007
2017_03,10,AT11925513007
2017_04,8,AT11925513007
2017_05,15,AT11925513007
2017_06,10,AT11925513007
2017_07,13,AT11925513007
2017_08,17,AT11925513007
2017_09,13,AT11925513007
2017_10,31,AT11925513007
2017_11,30,AT11925513007
2017_12,27,AT11925513007
2018_01,25,AT11925513007
2018_02,18,AT11925513007
2018_03,30,AT11925513007
2018_04,24,AT11925513007
2018_05,8,AT11925513007
